2026 U.S. Olympic Team,,,,,,
First name,Last name,Sport,Hometown City,Hometown State/Country,Event,
Amber,Glenn,Figure Skating,Plano,Texas,Women Single Skating,
Andrew,Torgashev,Figure Skating,Coral Springs,Florida,Men Single Skating,
Anthony,Ponomarenko,Figure Skating,San Jose,California,Ice Dance,
Christina,Carreira,Figure Skating,St Clair,Michigan,Ice Dance,
Daniel,O'Shea,Figure Skating,Colorado Springs,Colorado,Pair Skating,
Evan,Bates,Figure Skating,Ann Arbor,Michigan,Ice Dance,
Ilia,Malinin,Figure Skating,Vienna,Virginia,Men Single Skating,
Isabeau,Levito,Figure Skating,Mount Laurel,New Jersey,Women Single Skating,
Madison,Chock,Figure Skating,Redondo Beach,California,Ice Dance,
Maxim,Naumov,Figure Skating,Norwood,Massachusetts,Men Single Skating,
Spencer,Howe,Figure Skating,Los Angeles,California,Pair Skating,
Ellie,Kam,Figure Skating,Colorado Springs,Colorado,Pair Skating,
Emilea,Zingas,Figure Skating,Grosse Pointe Farms,Michigan,Ice Dance,
Vadym,Kolesnik,Figure Skating,Kharkiv,Ukraine,Ice Dance,
Emily,Chan,Figure Skating,Pasadena,Texas,Pair Skating,
Kyle,Connor,Ice Hockey - Men's,Shelby Township,Michigan,Men's Ice Hockey,
John,Eichel,Ice Hockey - Men's,North Chelmsford,Massachusetts,Men's Ice Hockey,
Brock,Faber,Ice Hockey - Men's,Maple Grove,Minnesota,Men's Ice Hockey,
Jake,Guentzel,Ice Hockey - Men's,Woodbury,Minnesota,Men's Ice Hockey,
Noah,Hanifin,Ice Hockey - Men's,Norwood,Massachusetts,Men's Ice Hockey,
Connor,Hellebuyck,Ice Hockey - Men's,Orchard Lake,Michigan,Men's Ice Hockey,
Jack,Hughes,Ice Hockey - Men's,Canton,Michigan,Men's Ice Hockey,
Quinn,Hughes,Ice Hockey - Men's,Canton,Michigan,Men's Ice Hockey,
Jackson,LaCombe,Ice Hockey - Men's,"
Eden Prairie",Minnesota,Men's Ice Hockey,
Dylan,Larkin,Ice Hockey - Men's,Waterford,Michigan,Men's Ice Hockey,
Clayton,Keller,Ice Hockey - Men's,Swansea,Illinois,Men's Ice Hockey,
Auston,Matthews,Ice Hockey - Men's,Phoenix,Arizona,Men's Ice Hockey,
Charles,McAvoy,Ice Hockey - Men's,Long Beach,New York,Men's Ice Hockey,
J.T.,Miller,Ice Hockey - Men's,East Palestine,Ohio,Men's Ice Hockey,
Brock,Nelson,Ice Hockey - Men's,Warroad,Minnesota,Men's Ice Hockey,
Jake,Oettinger,Ice Hockey - Men's,Lakeville,Minnesota,Men's Ice Hockey,
Jake,Sanderson,Ice Hockey - Men's,Whitefish,Montana,Men's Ice Hockey,
Jaccob,Slavin,Ice Hockey - Men's,Erie,Colorado,Men's Ice Hockey,
Braeden,Tkachuk,Ice Hockey - Men's,St. Louis,Missouri,Men's Ice Hockey,
Matthew,Tkachuk,Ice Hockey - Men's,St. Louis,Missouri,Men's Ice Hockey,
Vincent,Trocheck,Ice Hockey - Men's,Pittsburgh,Pennsylvania,Men's Ice Hockey,
Zach,Werenski,Ice Hockey - Men's,Grosse pointe woods,Michigan,Men's Ice Hockey,
Matt,Boldy,Ice Hockey - Men's,Millis,Massachusetts,Men's Ice Hockey,
Jeremy,Swayman,Ice Hockey - Men's,Anchorage,Alaska,Men's Ice Hockey,
Tage,Thompson,Ice Hockey - Men's,Phoenix,Arizona,Men's Ice Hockey,
Abbey,Murphy,Ice Hockey - Women's,Evergreen Park,Illinois,Women's Ice Hockey,
Aerin,Frankel,Ice Hockey - Women's,Chappaqua,New York,Women's Ice Hockey,
Alexandra,Carpenter,Ice Hockey - Women's,North Reading,Massachusetts,Women's Ice Hockey,
Britta,Curl-Salemme,Ice Hockey - Women's,Bismarck,North Dakota,Women's Ice Hockey,
Caroline,Harvey,Ice Hockey - Women's,Salem,New Hampshire,Women's Ice Hockey,
Cayla,Barnes,Ice Hockey - Women's,Eastvale,California,Women's Ice Hockey,
Grace,Zumwinkle,Ice Hockey - Women's,Excelsior,Minnesota,Women's Ice Hockey,
Hilary,Knight,Ice Hockey - Women's,Sun Valley,Idaho,Women's Ice Hockey,
Hannah,Bilka,Ice Hockey - Women's,Coppell,Texas,Women's Ice Hockey,
Hayley,Scamurra,Ice Hockey - Women's,Getzville,New York,Women's Ice Hockey,
Kelly,Pannek,Ice Hockey - Women's,Plymouth,Minnesota,Women's Ice Hockey,
Kendall,Coyne Schofield,Ice Hockey - Women's,Palos Heights,Illinois,Women's Ice Hockey,
Lee,Stecklein,Ice Hockey - Women's,Roseville,Minnesota,Women's Ice Hockey,
Megan,Keller,Ice Hockey - Women's,Farmington Hills,Michigan,Women's Ice Hockey,
Rory,Guilday,Ice Hockey - Women's,Chanhassen,Minnesota,Women's Ice Hockey,
Taylor,Heise,Ice Hockey - Women's,Lake City,Minnesota,Women's Ice Hockey,
Kirsten,Simms,Ice Hockey - Women's,Plymouth,Michigan,Women's Ice Hockey,
Laila,Edwards,Ice Hockey - Women's,Cleveland,Ohio,Women's Ice Hockey,
Tessa,Janecke,Ice Hockey - Women's,Orangeville,Illinois,Women's Ice Hockey,
Joy,Dunne,Ice Hockey - Women's,OFallon,Missouri,Women's Ice Hockey,
Ava,McNaughton,Ice Hockey - Women's,Wexford,Pennsylvania,Women's Ice Hockey,
Gwyneth,Philips,Ice Hockey - Women's,Athens,Ohio,Women's Ice Hockey,
Haley,Winn,Ice Hockey - Women's,Rochester,New York,Women's Ice Hockey,
Ashley,Farquharson,Luge,Park City,Utah,Women's Singles,
Chevonne,Forgan,Luge,Chelmsford,Massachusetts,Women's Doubles,
Emily,Fischnaller,Luge,Lake Placid,New York,Women's Singles,
Jonathan,Gustafson,Luge,Massena,New York,Men's Singles,
Matthew,Greiner,Luge,Park City,Utah,Men's Singles,
Sean,Hollander,Luge,Lake Placid,New York,Men's Doubles,
Sophia,Kirkby,Luge,Lake Placid,New York,Women's Doubles,
Summer,Britcher,Luge,Glen Rock,Pennsylvania,Women's Singles,
Zachary,DiGregorio,Luge,Medway,Massachusetts,Men's Doubles,
Ansel,Haugsjaa,Luge,Framingham,Massachusetts,Men's Doubles,
Marcus,Mueller,Luge,Brookfield,Wisconsin,Men's Doubles,
Niklas,Malacinski,Nordic Combined,Steamboat Springs,Colorado,Nordic Combined,
Ben,Loomis,Nordic Combined,Eau Claire,Wisconsin,Nordic Combined,
Kevin,Bickner,Ski Jumping,Wauconda,Illinois,Men's Ski Jumping,
Annika,Belshaw,Ski Jumping,Steamboat Springs,Colorado,Women's Ski Jumping,
Paige,Jones,Ski Jumping,Park City,Utah,Women's Ski Jumping,
Josie,Johnson,Ski Jumping,Park City,Utah,Women's Ski Jumping,
Jason,Colby,Ski Jumping,Steamboat Springs,Colorado,Men's Ski Jumping,
Tate,Frantz,Ski Jumping,Lake Placid,New York,Men's Ski Jumping,
Austin,Florian,Skeleton,Southington,Connecticut,Men's Skeleton,
Daniel,Barefoot,Skeleton,Johnstown,Pennsylvania,Men's Skeleton,
Kelly,Curtis,Skeleton,Princeton,New Jersey,Women's Skeleton,
Mystique,Ro,Skeleton,Nokesville,Virginia,Women's Skeleton,
Bryce,Bennett,Alpine Skiing - Men's,Palisades Tahoe,California,Men's Alpine Skiing,
Ryan,Cochran-Siegle,Alpine Skiing - Men's,Starksboro,Vermont,Men's Alpine Skiing,
Sam,Morse,Alpine Skiing - Men's,Carrabassett Valley,Maine,Men's Alpine Skiing,
Kyle,Negomir,Alpine Skiing - Men's,Littleton,Colorado,Men's Alpine Skiing,
River,Radamus,Alpine Skiing - Men's,Edwards,Colorado,Men's Alpine Skiing,
Ryder,Sarchett,Alpine Skiing - Men's,Ketchum,Idaho,Men's Alpine Skiing,
Mary,Bocock,Alpine Skiing - Women's,Salt Lake City,Utah,Women's Alpine Skiing,
Keely,Cashman,Alpine Skiing - Women's,Strawberry,California,Women's Alpine Skiing,
Katherine,Hensien,Alpine Skiing - Women's,Redmond,Washington,Women's Alpine Skiing,
Amelia,Hurt,Alpine Skiing - Women's,Carnelian  Bay,California,Women's Alpine Skiing,
Breezy,Johnson,Alpine Skiing - Women's,Jackson Hole,Wyoming,Women's Alpine Skiing,
Paula,Moltzan,Alpine Skiing - Women's,Lakeville,Minnesota,Women's Alpine Skiing,
Nina,O'Brien,Alpine Skiing - Women's,San Francisco,California,Women's Alpine Skiing,
Mikaela,Shiffrin,Alpine Skiing - Women's,Edwards,Colorado,Women's Alpine Skiing,
Lindsey,Vonn,Alpine Skiing - Women's,Vail,Colorado,Women's Alpine Skiing,
Jacqueline,Wiles,Alpine Skiing - Women's,Aurora,Oregon,Women's Alpine Skiing,
Isabella,Wright,Alpine Skiing - Women's,Salt Lake City,Utah,Women's Alpine Skiing,
Cameron,Smith,Ski Mountaineering,Rockford,Illinois,"Mixed Relay, Men's Sprint",
Anna,Gibson,Ski Mountaineering,Teton Village,Wyoming,"Mixed Relay, Women's Sprint",
Alessandro,Barbieri,Snowboarding,Portland,Oregon,Halfpipe,
Bea,Kim,Snowboarding,Palos Verdes,California,Halfpipe,
Chase,Blackwell,Snowboarding,Longmont,Colorado,Halfpipe,
Chloe,Kim,Snowboarding,Torrance,California,Halfpipe,
Faye,Thelen,Snowboarding,Cottonwood Heights,Utah,Snowboard Cross,
Jake,Canter,Snowboarding,Silverthorne,Colorado,"Slopestyle, Big Air",
Sean,FitzSimons,Snowboarding,Hood River,Oregon,"Slopestyle, Big Air",
Red,Gerard,Snowboarding,Silverthorne ,Colorado,"Slopestyle, Big Air",
Jake,Pates,Snowboarding,Eagle,Colorado,Halfpipe,
Maddie,Mastro,Snowboarding,Wrightwood ,California,Halfpipe,
Iris,Pflum,Snowboarding,Minneapolis,Minnesota,Parallel Giant Slalom,
Nick,Baumgartner,Snowboarding,Iron River,Michigan,Snowboard Cross,
Jake,Vedder,Snowboarding,Pinckney,Michigan,Snowboard Cross,
Cody,Winters,Snowboarding,Steamboat Springs,Colorado,"Parallel Giant Slalom, Snowboard Cross",
Stacy,Gaskill,Snowboarding,Golden,Colorado,Snowboard Cross,
Hanna,Percy,Snowboarding,Truckee,California,Snowboard Cross,
Brianna,Schnorrbusch,Snowboarding,Monroe Township,New Jersey,Snowboard Cross,
Oliver,Martin,Snowboarding,Vail,Colorado,"Slopestyle, Big Air",
Hahna,Norman,Snowboarding,Truckee,California,"Slopestyle, Big Air",
Lily,Dhawornvej,Snowboarding,Copper Mountain,Colorado,"Slopestyle, Big Air",
Madeline,Schaffrick,Snowboarding,Steamboat Springs,Colorado,Halfpipe,
Nathan,Pare,Snowboarding,Bethel,Maine,Snowboard Cross,
Chase,Josey,Snowboarding,Sun Valley,Idaho,Halfpipe,
Jess,Perlmutter,Snowboarding,Millburn,New Jersey,"Slopestyle, Big Air",
Brandon,Kim,Speedskating (Short Track),Fairfax,Virginia,Men's Short Track Speedskating,
Clayton,DeClemente,Speedskating (Short Track),Poughkeepsie,New York,Men's Short Track Speedskating,
Corinne,Stoddard,Speedskating (Short Track),Tacoma,Washington,Women's Short Track Speedskating,
Eunice,Lee,Speedskating (Short Track),Bellevue,Washington,Women's Short Track Speedskating,
Julie,Letai,Speedskating (Short Track),Medfield,Massachusetts,Women's Short Track Speedskating,
Kamryn,Lute,Speedskating (Short Track),New York,New York,Women's Short Track Speedskating,
Kristen,Santos-Griswold,Speedskating (Short Track),Fairfield,Connecticut,Women's Short Track Speedskating,
Andrew,Heo,Speedskating (Short Track),Warrington,Pennsylvania,Men's Short Track Speedskating,
Brittany,Bowe,Speedskating (Long Track),Ocala,Florida,"Women's 1000m, Women's 1500m",
Casey,Dawson,Speedskating (Long Track),Park City,Utah,"Men's 1500m, Men's 5000m, Men's 10000m",
Conor,McDermott-Mostowy,Speedskating (Long Track),Washington,Washington D.C.,Men's 1000m,
Cooper,McLeod,Speedskating (Long Track),Burlington,Washington,"Men's 500m, Men's 1000m",
Emery,Lehman,Speedskating (Long Track),Oak Park,Illinois,Men's 1500m,
Erin,Jackson,Speedskating (Long Track),Ocala,Florida,"Women's 500m, Women's 1000m",
Ethan,Cepuran,Speedskating (Long Track),Glen Ellyn,Illinois,Men's Mass Start,
Giorgia,Birkeland,Speedskating (Long Track),White Bear Lake,Minnesota,Women's 1500m,
Greta,Myers,Speedskating (Long Track),Lino Lakes,Minnesota,Women's Mass Start,
Jordan,Stolz,Speedskating (Long Track),Kewaskum,Wisconsin,"Men's 500m, Men's 1000m, Men's 1500m, Men's Mass Start",
Mia,Manganello,Speedskating (Long Track),Crestview,Florida,Women's Mass Start,
Sarah,Warren,Speedskating (Long Track),Willowbrook,Illinois,Women's 500m,
Zachary,Stoppelmoor,Speedskating (Long Track),West Des Moines,Iowa,Men's 500m,
